Name,HRSP,G_Corr,G
PhN,-520.922085326001,0.194522,-520.727563326001
PhN+,-521.383587796754,0.207723,-521.175864796754
TS3,-3810.223249116197,0.447493,-3809.775756116197
TS1,-3810.226837646772,0.4494,-3809.777437646772
TS0,-1054.989434993838,0.299639,-1054.6897959938378
Int5,-3810.246504507316,0.450896,-3809.795608507316
Int3,-3810.250224422801,0.452385,-3809.7978394228007
Parameters:
T,343.15
P,1.0
sclZPE,0.9816
sclheat,0.9525
sclS,0.9576
sclCV,1.0
ilowfreq,2
ravib,100
imode,0
outshm,0
PGlabel,?
prtvib,0
defmass,3
